augustus-Nitab20-processed-gene-16.2	maker-Nitab13-augustus-gene-241.15
maker-Nitab20-augustus-gene-35.13	maker-Nitab17-pred_gff_Mikado_loci-gene-1669.1
augustus-Nitab20-processed-gene-44.32	augustus-Nitab24-processed-gene-1047.6
maker-Nitab20-augustus-gene-69.0	maker-Nitab24-pred_gff_Mikado_loci-gene-1020.25
augustus-Nitab20-processed-gene-220.2	maker-Nitab04-augustus-gene-243.12
maker-Nitab20-augustus-gene-349.5	maker-Nitab23-pred_gff_Mikado_loci-gene-685.6
maker-Nitab20-augustus-gene-606.0	maker-Nitab04-pred_gff_Mikado_loci-gene-347.1
maker-Nitab20-augustus-gene-725.2	maker-Nitab09-pred_gff_Mikado_loci-gene-775.1
maker-Nitab20-augustus-gene-742.8	maker-Nitab15-pred_gff_Mikado_loci-gene-1081.10
maker-Nitab20-augustus-gene-745.9	maker-Nitab15-augustus-gene-1086.3
maker-Nitab20-augustus-gene-938.6	augustus-Nitab12-processed-gene-990.18
augustus-Nitab20-processed-gene-1051.11	maker-Nitab19-pred_gff_Mikado_loci-gene-174.6
maker-Nitab20-pred_gff_Mikado_loci-gene-1252.2	maker-Nitab22-augustus-gene-180.7
maker-Nitab20-augustus-gene-1294.0	maker-Nitab22-pred_gff_Mikado_loci-gene-156.0
augustus-Nitab20-processed-gene-1335.6	maker-Nitab15-augustus-gene-110.8
maker-Nitab20-augustus-gene-1408.6	maker-Nitab13-augustus-gene-56.18
maker-Nitab20-pred_gff_Mikado_loci-gene-1437.19	maker-Nitab06-augustus-gene-1600.17
maker-Nitab20-pred_gff_Mikado_loci-gene-1434.29	maker-Nitab14-pred_gff_Mikado_loci-gene-236.33
maker-Nitab20-pred_gff_Mikado_loci-gene-1473.5	maker-Nitab09-augustus-gene-1119.16
maker-Nitab08-augustus-gene-26.11	maker-Nitab22-augustus-gene-383.9
maker-Nitab08-pred_gff_Mikado_loci-gene-78.6	maker-Nitab22-augustus-gene-152.8
maker-Nitab08-augustus-gene-85.7	maker-Nitab22-pred_gff_Mikado_loci-gene-151.0
maker-Nitab08-augustus-gene-171.2	maker-Nitab19-augustus-gene-403.2
maker-Nitab08-pred_gff_Mikado_loci-gene-239.0	maker-Nitab17-pred_gff_Mikado_loci-gene-188.7
maker-Nitab08-augustus-gene-253.4	maker-Nitab19-augustus-gene-637.2
maker-Nitab08-pred_gff_Mikado_loci-gene-329.1	maker-Nitab23-pred_gff_Mikado_loci-gene-428.7
maker-Nitab08-pred_gff_Mikado_loci-gene-413.0	maker-Nitab04-pred_gff_Mikado_loci-gene-95.13
maker-Nitab08-pred_gff_Mikado_loci-gene-787.0	maker-Nitab09-pred_gff_Mikado_loci-gene-1018.11
maker-Nitab08-augustus-gene-843.3	maker-Nitab18-pred_gff_Mikado_loci-gene-108.0
maker-Nitab08-augustus-gene-893.5	maker-Nitab19-augustus-gene-797.5
maker-Nitab08-augustus-gene-928.9	augustus-Nitab02-processed-gene-173.4
