augustus-Nitab20-processed-gene-16.2	maker-Nitab13-augustus-gene-241.15
maker-Nitab20-augustus-gene-35.13	maker-Nitab17-pred_gff_Mikado_loci-gene-1669.1
augustus-Nitab20-processed-gene-44.32	augustus-Nitab24-processed-gene-1047.6
maker-Nitab20-augustus-gene-119.6	maker-Nitab19-pred_gff_Mikado_loci-gene-908.3
augustus-Nitab20-processed-gene-220.2	maker-Nitab04-augustus-gene-243.12
augustus-Nitab20-processed-gene-224.2	maker-Nitab22-pred_gff_Mikado_loci-gene-780.2
maker-Nitab20-pred_gff_Mikado_loci-gene-255.0	maker-Nitab24-augustus-gene-825.4
maker-Nitab20-augustus-gene-302.12	maker-Nitab20-pred_gff_Mikado_loci-gene-292.10
maker-Nitab20-augustus-gene-358.9	maker-Nitab24-pred_gff_Mikado_loci-gene-439.25
maker-Nitab20-augustus-gene-362.6	maker-Nitab24-pred_gff_Mikado_loci-gene-433.5
augustus-Nitab20-processed-gene-374.5	maker-Nitab24-pred_gff_Mikado_loci-gene-429.9
maker-Nitab20-augustus-gene-415.0	maker-Nitab17-augustus-gene-795.5
maker-Nitab20-augustus-gene-436.6	maker-Nitab24-augustus-gene-403.31
maker-Nitab20-augustus-gene-453.3	maker-Nitab02-augustus-gene-1218.37
augustus-Nitab20-processed-gene-530.1	maker-Nitab17-pred_gff_Mikado_loci-gene-861.6
maker-Nitab20-pred_gff_Mikado_loci-gene-605.0	maker-Nitab04-pred_gff_Mikado_loci-gene-346.29
maker-Nitab20-augustus-gene-606.0	maker-Nitab04-pred_gff_Mikado_loci-gene-347.1
maker-Nitab20-pred_gff_Mikado_loci-gene-704.2	maker-Nitab19-augustus-gene-1193.14
maker-Nitab20-augustus-gene-745.9	maker-Nitab15-augustus-gene-1086.3
maker-Nitab20-pred_gff_Mikado_loci-gene-756.6	augustus-Nitab15-processed-gene-156.13
maker-Nitab20-augustus-gene-789.12	maker-Nitab13-pred_gff_Mikado_loci-gene-112.3
maker-Nitab20-pred_gff_Mikado_loci-gene-869.3	maker-Nitab17-pred_gff_Mikado_loci-gene-1057.4
maker-Nitab20-pred_gff_Mikado_loci-gene-904.9	maker-Nitab12-pred_gff_Mikado_loci-gene-1029.1
maker-Nitab20-augustus-gene-938.6	augustus-Nitab12-processed-gene-990.18
maker-Nitab20-augustus-gene-945.1	maker-Nitab15-augustus-gene-318.4
augustus-Nitab20-processed-gene-1031.1	maker-Nitab15-augustus-gene-290.6
augustus-Nitab20-processed-gene-1051.11	maker-Nitab19-pred_gff_Mikado_loci-gene-174.6
maker-Nitab20-augustus-gene-1105.0	maker-Nitab15-pred_gff_Mikado_loci-gene-264.6
maker-Nitab20-augustus-gene-1116.14	maker-Nitab12-augustus-gene-802.1
maker-Nitab20-augustus-gene-1173.2	maker-Nitab15-augustus-gene-210.4
maker-Nitab20-pred_gff_Mikado_loci-gene-1188.22	maker-Nitab15-pred_gff_Mikado_loci-gene-218.0
