"","total","S subgenome","T subgenome","ambiguous"
"1",899,413,407,79
"2",10936,4897,5109,930
"3",9039,4001,4091,947
"4",3709,1703,1697,309
"5",2394,969,997,428
"6",2307,1027,1063,217
"7",1636,711,778,147
"8",1531,647,730,154
"9",1432,675,619,138
"10",1260,590,525,145
"11",1202,534,551,117
"12",1080,525,444,111
"13",834,381,368,85
"14",530,224,243,63
"15",434,216,174,44
"16",424,168,163,93
"17",409,197,169,43
"18",335,144,141,50
"19",315,141,134,40
"20",309,137,131,41
"21",254,105,126,23
"22",212,85,110,17
"23",150,67,73,10
"24",110,50,53,7
"25",59,19,35,5
"26",59,22,30,7
"27",56,5,44,7
"28",40,20,19,1
"29",35,7,28,0
"30",26,13,10,3
