"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0007039","protein catabolic process in the vacuole",2,1,0,"0.0035"
"2","GO:1905516","positive regulation of fertilization",2,1,0,"0.0035"
"3","GO:0044403","symbiont process",64,2,0.11,"0.0057"
"4","GO:0006111","regulation of gluconeogenesis",4,1,0.01,"0.0070"
"5","GO:0010325","raffinose family oligosaccharide biosynt...",4,1,0.01,"0.0070"
"6","GO:0010677","negative regulation of cellular carbohyd...",4,1,0.01,"0.0070"
"7","GO:0010906","regulation of glucose metabolic process",4,1,0.01,"0.0070"
"8","GO:0045721","negative regulation of gluconeogenesis",4,1,0.01,"0.0070"
"9","GO:0080154","regulation of fertilization",4,1,0.01,"0.0070"
"10","GO:0044419","interspecies interaction between organis...",75,2,0.13,"0.0078"
"11","GO:0006750","glutathione biosynthetic process",5,1,0.01,"0.0088"
"12","GO:0019184","nonribosomal peptide biosynthetic proces...",5,1,0.01,"0.0088"
"13","GO:0048530","fruit morphogenesis",5,1,0.01,"0.0088"
"14","GO:0009939","positive regulation of gibberellic acid ...",6,1,0.01,"0.0105"
"15","GO:0048444","floral organ morphogenesis",6,1,0.01,"0.0105"
"16","GO:0006508","proteolysis",2119,9,3.72,"0.0116"
"17","GO:0019079","viral genome replication",7,1,0.01,"0.0122"
"18","GO:0019284","L-methionine salvage from S-adenosylmeth...",7,1,0.01,"0.0122"
"19","GO:0019374","galactolipid metabolic process",7,1,0.01,"0.0122"
"20","GO:0019375","galactolipid biosynthetic process",7,1,0.01,"0.0122"
"21","GO:0033353","S-adenosylmethionine cycle",7,1,0.01,"0.0122"
"22","GO:0036003","positive regulation of transcription fro...",7,1,0.01,"0.0122"
"23","GO:0043618","regulation of transcription from RNA pol...",7,1,0.01,"0.0122"
"24","GO:0043620","regulation of DNA-templated transcriptio...",7,1,0.01,"0.0122"
"25","GO:0046439","L-cysteine metabolic process",7,1,0.01,"0.0122"
"26","GO:0046498","S-adenosylhomocysteine metabolic process",7,1,0.01,"0.0122"
"27","GO:0046786","viral replication complex formation and ...",7,1,0.01,"0.0122"
"28","GO:0061408","positive regulation of transcription fro...",7,1,0.01,"0.0122"
"29","GO:0006102","isocitrate metabolic process",8,1,0.01,"0.0140"
"30","GO:0045912","negative regulation of carbohydrate meta...",9,1,0.02,"0.0157"
"31","GO:0006575","cellular modified amino acid metabolic p...",110,2,0.19,"0.0162"
"32","GO:0009937","regulation of gibberellic acid mediated ...",10,1,0.02,"0.0174"
"33","GO:0015805","S-adenosyl-L-methionine transport",10,1,0.02,"0.0174"
"34","GO:0019058","viral life cycle",10,1,0.02,"0.0174"
"35","GO:1900865","chloroplast RNA modification",10,1,0.02,"0.0174"
"36","GO:1901962","S-adenosyl-L-methionine transmembrane tr...",10,1,0.02,"0.0174"
"37","GO:0031326","regulation of cellular biosynthetic proc...",3117,11,5.48,"0.0194"
"38","GO:0009889","regulation of biosynthetic process",3134,11,5.51,"0.0201"
"39","GO:0016579","protein deubiquitination",127,2,0.22,"0.0212"
"40","GO:0019509","L-methionine salvage from methylthioaden...",13,1,0.02,"0.0226"
